name,element,weapon,rarity,description,image_path,prompt
Qiqi,Cryo,Sword,5-star,"An apprentice and herb gatherer at Bubu Pharmacy. An undead with a bone-white complexion, she seldom has much in the way of words or emotion.",genshin_dataset/images/qiqi.png,"Qiqi, a 5-star Cryo Sword from Genshin Impact. An apprentice and herb gatherer at Bubu Pharmacy. An undead with a bone-white complexion, she seldom has much in the way of words or emotion."
Kaveh,Dendro,Claymore,4-star,A renowned architect from Sumeru who perhaps cares a bit too much about too many things. He is an aesthete troubled by reality.,genshin_dataset/images/kaveh.png,"Kaveh, a 4-star Dendro Claymore from Genshin Impact. A renowned architect from Sumeru who perhaps cares a bit too much about too many things. He is an aesthete troubled by reality."
Noelle,Geo,Claymore,4-star,A maid who faithfully serves the Knights of Favonius that dreams of joining their ranks someday.,genshin_dataset/images/noelle.png,"Noelle, a 4-star Geo Claymore from Genshin Impact. A maid who faithfully serves the Knights of Favonius that dreams of joining their ranks someday."
Kamisato Ayato,Hydro,Sword,5-star,"The young but highly accomplished head of the Yashiro Commisson's Kamisato Clan. Cultured and polite, he is a man of many ways and means.",genshin_dataset/images/ayato.png,"Kamisato Ayato, a 5-star Hydro Sword from Genshin Impact. The young but highly accomplished head of the Yashiro Commisson's Kamisato Clan. Cultured and polite, he is a man of many ways and means."
Xingqiu,Hydro,Sword,4-star,A young man carrying a longsword who is frequently seen at book booths. He has a chivalrous heart and yearns for justice and fairness for all.,genshin_dataset/images/xingqiu.png,"Xingqiu, a 4-star Hydro Sword from Genshin Impact. A young man carrying a longsword who is frequently seen at book booths. He has a chivalrous heart and yearns for justice and fairness for all."
Yaoyao,Dendro,Polearm,4-star,Streetward Rambler's youngest disciple. A gentle and caring “little adult.”,genshin_dataset/images/yaoyao.png,"Yaoyao, a 4-star Dendro Polearm from Genshin Impact. Streetward Rambler's youngest disciple. A gentle and caring “little adult.”"
Shikanoin Heizou,Anemo,Catalyst,4-star,A young prodigy detective from the Tenryou Commission. His senses are sharp and his thoughts are clear.,genshin_dataset/images/shikanoin-heizou.png,"Shikanoin Heizou, a 4-star Anemo Catalyst from Genshin Impact. A young prodigy detective from the Tenryou Commission. His senses are sharp and his thoughts are clear."
Charlotte,Cryo,Catalyst,4-star,"Indefatigable reporter of The Steambird, constantly on the hunt for the ""truth.""",genshin_dataset/images/charlotte.png,"Charlotte, a 4-star Cryo Catalyst from Genshin Impact. Indefatigable reporter of The Steambird, constantly on the hunt for the ""truth."""
Mualani,Hydro,Catalyst,5-star,"Being a guide, a surfer, and a watersports shop owner for the People of the Springs, Mualani is an active and sweet person, who is always able to satisfy her clients.",genshin_dataset/images/mualani.png,"Mualani, a 5-star Hydro Catalyst from Genshin Impact. Being a guide, a surfer, and a watersports shop owner for the People of the Springs, Mualani is an active and sweet person, who is always able to satisfy her clients."
Amber,Pyro,Bow,4-star,"Always energetic and full of life, Amber's the best - albeit only - Outrider of the Knights of Favonius.",genshin_dataset/images/amber.png,"Amber, a 4-star Pyro Bow from Genshin Impact. Always energetic and full of life, Amber's the best - albeit only - Outrider of the Knights of Favonius."
Chiori,Geo,Sword,5-star,The owner of Chioriya Boutique. A tailor renowned throughout Fontaine.,genshin_dataset/images/chiori.png,"Chiori, a 5-star Geo Sword from Genshin Impact. The owner of Chioriya Boutique. A tailor renowned throughout Fontaine."
Layla,Cryo,Sword,4-star,"A Rtawahist student who specializes in Theoretical Astrology. Heavily prone to somnambulism and locked in a grinding war with sleep deprivation, the problem of restful slumber is a most troubling one to her.",genshin_dataset/images/layla.png,"Layla, a 4-star Cryo Sword from Genshin Impact. A Rtawahist student who specializes in Theoretical Astrology. Heavily prone to somnambulism and locked in a grinding war with sleep deprivation, the problem of restful slumber is a most troubling one to her."
Yelan,Hydro,Bow,5-star,"A mysterious person who claims to work for the Ministry of Civil Affairs, but is a ""non-entity"" on the Ministry of Civil Affairs' list.",genshin_dataset/images/yelan.png,"Yelan, a 5-star Hydro Bow from Genshin Impact. A mysterious person who claims to work for the Ministry of Civil Affairs, but is a ""non-entity"" on the Ministry of Civil Affairs' list."
Traveler,Hydro,Sword,5-star,"A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven.",genshin_dataset/images/traveler-hydro.png,"Traveler, a 5-star Hydro Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
Nahida,Dendro,Catalyst,5-star,A caged bird secluded within the confines of the Sanctuary of Surasthana who can only see the world in her dreams.,genshin_dataset/images/nahida.png,"Nahida, a 5-star Dendro Catalyst from Genshin Impact. A caged bird secluded within the confines of the Sanctuary of Surasthana who can only see the world in her dreams."
Clorinde,Electro,Sword,5-star,"An undefeated Champion Duelist. Sword in hand, she defends justice in the Court of Fontaine.",genshin_dataset/images/clorinde.png,"Clorinde, a 5-star Electro Sword from Genshin Impact. An undefeated Champion Duelist. Sword in hand, she defends justice in the Court of Fontaine."
Kuki Shinobu,Electro,Sword,4-star,"The capable and reliable deputy leader of the ""Arataki Gang."" Please note: capable and reliable are not appellations for the ""Arataki Gang,"" but for their deputy leader in specific.",genshin_dataset/images/kuki-shinobu.png,"Kuki Shinobu, a 4-star Electro Sword from Genshin Impact. The capable and reliable deputy leader of the ""Arataki Gang."" Please note: capable and reliable are not appellations for the ""Arataki Gang,"" but for their deputy leader in specific."
Mika,Cryo,Polearm,4-star,A young knight born to an ordinary family. He serves as a Front-Line Surveyor in his Company. He is a low-key and cautious character.,genshin_dataset/images/mika.png,"Mika, a 4-star Cryo Polearm from Genshin Impact. A young knight born to an ordinary family. He serves as a Front-Line Surveyor in his Company. He is a low-key and cautious character."
Traveler,Anemo,Sword,5-star,"A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven.",genshin_dataset/images/traveler-anemo.png,"Traveler, a 5-star Anemo Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
Xiangling,Pyro,Polearm,4-star,A renowned chef from Liyue. She's extremely passionate about cooking and excels at making her signature hot and spicy dishes.,genshin_dataset/images/xiangling.png,"Xiangling, a 4-star Pyro Polearm from Genshin Impact. A renowned chef from Liyue. She's extremely passionate about cooking and excels at making her signature hot and spicy dishes."
Raiden Shogun,Electro,Polearm,5-star,"Her Excellency, the Almighty, Narukami Ogosho, who promised the people of Inazuma an unchanging Eternity.",genshin_dataset/images/raiden.png,"Raiden Shogun, a 5-star Electro Polearm from Genshin Impact. Her Excellency, the Almighty, Narukami Ogosho, who promised the people of Inazuma an unchanging Eternity."
Yanfei,Pyro,Catalyst,4-star,A well-known legal adviser active in Liyue Harbor. A brilliant young lady in whose veins runs the blood of an illuminated beast.,genshin_dataset/images/yanfei.png,"Yanfei, a 4-star Pyro Catalyst from Genshin Impact. A well-known legal adviser active in Liyue Harbor. A brilliant young lady in whose veins runs the blood of an illuminated beast."
Lisa,Electro,Catalyst,4-star,The languid but knowledgeable Librarian of the Knights of Favonius who was deemed by Sumeru Academia to be their most distinguished graduate in the past two centuries.,genshin_dataset/images/lisa.png,"Lisa, a 4-star Electro Catalyst from Genshin Impact. The languid but knowledgeable Librarian of the Knights of Favonius who was deemed by Sumeru Academia to be their most distinguished graduate in the past two centuries."
Venti,Anemo,Bow,5-star,"One of the many bards of Mondstadt, who freely wanders the city's streets and alleys.",genshin_dataset/images/venti.png,"Venti, a 5-star Anemo Bow from Genshin Impact. One of the many bards of Mondstadt, who freely wanders the city's streets and alleys."
Traveler,Dendro,Sword,5-star,"A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven.",genshin_dataset/images/traveler-dendro.png,"Traveler, a 5-star Dendro Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
Sangonomiya Kokomi,Hydro,Catalyst,5-star,The Divine Priestess of Watatsumi Island. All of the island's affairs are at this young lady's fingertips.,genshin_dataset/images/kokomi.png,"Sangonomiya Kokomi, a 5-star Hydro Catalyst from Genshin Impact. The Divine Priestess of Watatsumi Island. All of the island's affairs are at this young lady's fingertips."
Mona,Hydro,Catalyst,5-star,"A mysterious young astrologer who proclaims herself to be ""Astrologist Mona Megistus,"" and who possesses abilities to match the title. Erudite, but prideful.",genshin_dataset/images/mona.png,"Mona, a 5-star Hydro Catalyst from Genshin Impact. A mysterious young astrologer who proclaims herself to be ""Astrologist Mona Megistus,"" and who possesses abilities to match the title. Erudite, but prideful."
Arlecchino,Pyro,Polearm,5-star,"""The Knave,"" Fourth of the Fatui Harbingers. A poised, ruthless diplomat. To the children in the House of the Hearth, she is their feared yet dependable ""Father.""",genshin_dataset/images/arlecchino.png,"Arlecchino, a 5-star Pyro Polearm from Genshin Impact. ""The Knave,"" Fourth of the Fatui Harbingers. A poised, ruthless diplomat. To the children in the House of the Hearth, she is their feared yet dependable ""Father."""
Zhongli,Geo,Polearm,5-star,A mysterious expert contracted by the Wangsheng Funeral Parlor. Extremely knowledgeable in all things.,genshin_dataset/images/zhongli.png,"Zhongli, a 5-star Geo Polearm from Genshin Impact. A mysterious expert contracted by the Wangsheng Funeral Parlor. Extremely knowledgeable in all things."
Lynette,Anemo,Sword,4-star,"A magic assistant of few words, her emotions are as inscrutable as any cat's.",genshin_dataset/images/lynette.png,"Lynette, a 4-star Anemo Sword from Genshin Impact. A magic assistant of few words, her emotions are as inscrutable as any cat's."
Traveler,Geo,Sword,5-star,"A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven.",genshin_dataset/images/traveler-geo.png,"Traveler, a 5-star Geo Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
Traveler,Electro,Sword,5-star,"A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven.",genshin_dataset/images/traveler-electro.png,"Traveler, a 5-star Electro Sword from Genshin Impact. A traveler from another world who had their only kin taken away, forcing them to embark on a journey to find The Seven."
Sayu,Anemo,Claymore,4-star,"A pint-sized ninja attached to the Shuumatsuban, who always seems to be lacking sleep.",genshin_dataset/images/sayu.png,"Sayu, a 4-star Anemo Claymore from Genshin Impact. A pint-sized ninja attached to the Shuumatsuban, who always seems to be lacking sleep."
Yae Miko,Electro,Catalyst,5-star,Lady Guuji of the Grand Narukami Shrine. Also serves as the editor-in-chief of Yae Publishing House. Unimaginable intelligence and cunning are hidden under her beautiful appearance.,genshin_dataset/images/yae-miko.png,"Yae Miko, a 5-star Electro Catalyst from Genshin Impact. Lady Guuji of the Grand Narukami Shrine. Also serves as the editor-in-chief of Yae Publishing House. Unimaginable intelligence and cunning are hidden under her beautiful appearance."
Gorou,Geo,Bow,4-star,The great general of Watatsumi Island's forces. He is deeply trusted by his subordinates.,genshin_dataset/images/gorou.png,"Gorou, a 4-star Geo Bow from Genshin Impact. The great general of Watatsumi Island's forces. He is deeply trusted by his subordinates."
Furina,Hydro,Sword,5-star,"The absolute focus of the stage of judgment, until the final applause sounds.",genshin_dataset/images/furina.png,"Furina, a 5-star Hydro Sword from Genshin Impact. The absolute focus of the stage of judgment, until the final applause sounds."
Cyno,Electro,Polearm,5-star,"The General Mahamatra of the Akademiya, leader of all the Matras. He has a unique sense of humor that never fails to leave a deep impression.",genshin_dataset/images/cyno.png,"Cyno, a 5-star Electro Polearm from Genshin Impact. The General Mahamatra of the Akademiya, leader of all the Matras. He has a unique sense of humor that never fails to leave a deep impression."
Baizhu,Dendro,Catalyst,5-star,"The owner of Bubu Pharmacy, who is rarely seen without the white snake named Changsheng. His medicinal knowledge is encyclopedic, and his personal intrigues subtle.",genshin_dataset/images/baizhu.png,"Baizhu, a 5-star Dendro Catalyst from Genshin Impact. The owner of Bubu Pharmacy, who is rarely seen without the white snake named Changsheng. His medicinal knowledge is encyclopedic, and his personal intrigues subtle."
Kaeya,Cryo,Sword,4-star,"An accomplished swordsman and a strategic thinker in the Knights of Favonius, rumored to hail from beyond Mondstadt.",genshin_dataset/images/kaeya.png,"Kaeya, a 4-star Cryo Sword from Genshin Impact. An accomplished swordsman and a strategic thinker in the Knights of Favonius, rumored to hail from beyond Mondstadt."
Navia,Geo,Claymore,5-star,"The current President of Spina di Rosula, who is lovely, dutiful, and a great boss.",genshin_dataset/images/navia.png,"Navia, a 5-star Geo Claymore from Genshin Impact. The current President of Spina di Rosula, who is lovely, dutiful, and a great boss."
Jean,Anemo,Sword,5-star,"The righteous and rigorous Dandelion Knight, and Acting Grand Master of Mondstadt's Knights of Favonius",genshin_dataset/images/jean.png,"Jean, a 5-star Anemo Sword from Genshin Impact. The righteous and rigorous Dandelion Knight, and Acting Grand Master of Mondstadt's Knights of Favonius"
Faruzan,Anemo,Bow,4-star,"A researcher from 'one hundred years ago'. She enjoys self-identifying as everyone's senior, and has significant knowledge of ancient scripts and machines of all kinds.",genshin_dataset/images/faruzan.png,"Faruzan, a 4-star Anemo Bow from Genshin Impact. A researcher from 'one hundred years ago'. She enjoys self-identifying as everyone's senior, and has significant knowledge of ancient scripts and machines of all kinds."
Wanderer,Anemo,Catalyst,5-star,"A wayfaring figure whose identity is a mystery. He dresses like a mountain ascetic, but he certainly does not act the part. ",genshin_dataset/images/wanderer.png,"Wanderer, a 5-star Anemo Catalyst from Genshin Impact. A wayfaring figure whose identity is a mystery. He dresses like a mountain ascetic, but he certainly does not act the part. "
Kaedehara Kazuha,Anemo,Sword,5-star,"If one's heart is empty, all under heaven is empty. But if one's heart is pure, all under heaven is pure.",genshin_dataset/images/kazuha.png,"Kaedehara Kazuha, a 5-star Anemo Sword from Genshin Impact. If one's heart is empty, all under heaven is empty. But if one's heart is pure, all under heaven is pure."
Candace,Hydro,Polearm,4-star,A descendant of King Deshret with an amber left eye. The defender of Aaru Village.,genshin_dataset/images/candace.png,"Candace, a 4-star Hydro Polearm from Genshin Impact. A descendant of King Deshret with an amber left eye. The defender of Aaru Village."
Tighnari,Dendro,Bow,5-star,"""A message for you. I brought back a specialty from the desert, two packs of honeyed dates, which helps to replenish your energy, whether in the morning or at night. Thank you for your patience in teaching and taking care of Collei. Good luck with your work and best wishes for Collei's studies.""
—An anonymously written message left inside a candy box, placed on the watcher's table.",genshin_dataset/images/tighnari.png,"Tighnari, a 5-star Dendro Bow from Genshin Impact. ""A message for you. I brought back a specialty from the desert, two packs of honeyed dates, which helps to replenish your energy, whether in the morning or at night. Thank you for your patience in teaching and taking care of Collei. Good luck with your work and best wishes for Collei's studies.""
—An anonymously written message left inside a candy box, placed on the watcher's table."
Hu Tao,Pyro,Polearm,5-star,The 77th Director of the Wangsheng Funeral Parlor. She took over the business at a rather young age.,genshin_dataset/images/hu-tao.png,"Hu Tao, a 5-star Pyro Polearm from Genshin Impact. The 77th Director of the Wangsheng Funeral Parlor. She took over the business at a rather young age."
Kirara,Dendro,Sword,4-star,"A courier for Komaniya Express, a delivery company in Inazuma. A nekomata who loves her job and human society.",genshin_dataset/images/kirara.png,"Kirara, a 4-star Dendro Sword from Genshin Impact. A courier for Komaniya Express, a delivery company in Inazuma. A nekomata who loves her job and human society."
Alhaitham,Dendro,Sword,5-star,"The current scribe of the Sumeru Akademiya, a man endowed with extraodinary intelligence and talent. He lives free — free from the searching eyes of ordinary people, anyway.",genshin_dataset/images/alhaitham.png,"Alhaitham, a 5-star Dendro Sword from Genshin Impact. The current scribe of the Sumeru Akademiya, a man endowed with extraodinary intelligence and talent. He lives free — free from the searching eyes of ordinary people, anyway."
